striker,innings_batted,runs_scored,balls_faced,dots,ones,twos,threes,fours,sixes,times_dismissed,batting_average,strike_rate,boundary_pct
Towhid Hridoy,47,1071,875,317,393,75,6,69,39,39.0,27.46,122.4,0.12
GJ Delany,67,1069,796,310,288,72,5,82,49,51.0,20.96,134.3,0.16
S Muniandy,81,1068,930,382,375,75,5,72,40,60.0,17.8,114.84,0.12
I Liyanage,41,1067,864,394,298,58,5,116,29,35.0,30.49,123.5,0.17
Imran Anwar,61,1056,846,433,251,54,5,64,71,56.0,18.86,124.82,0.16
IA Karim,40,1055,1001,413,422,80,3,95,14,26.0,40.58,105.39,0.11
LD Chandimal,61,1048,1013,436,415,64,6,89,21,54.0,19.41,103.46,0.11
Luqman Butt,34,1048,719,287,283,21,1,90,60,28.0,37.43,145.76,0.21
DMW Rawlins,34,1045,712,297,245,49,2,72,68,27.0,38.7,146.77,0.2
Zubaidi Zulkifle,61,1039,730,352,198,51,3,103,53,57.0,18.23,142.33,0.21
Afif Hossain,58,1031,852,356,340,72,5,79,36,47.0,21.94,121.01,0.13
AP Yadav,41,1024,966,464,376,51,4,105,19,33.0,31.03,106.0,0.13
S Bau,46,1023,909,420,329,68,5,88,31,38.0,26.92,112.54,0.13
Aizaz Khan,79,1021,924,376,390,78,7,73,27,63.0,16.21,110.5,0.11
C Campher,55,1018,804,302,327,84,6,80,30,46.0,22.13,126.62,0.14
L Bruce,41,1015,907,460,320,76,6,106,16,34.0,29.85,111.91,0.13
MD Patel,40,1011,733,303,257,57,6,106,33,35.0,28.89,137.93,0.19
FO Kibasu,46,1009,996,553,309,82,8,128,0,41.0,24.61,101.31,0.13
N Davin,39,1007,732,323,212,69,4,109,34,34.0,29.62,137.57,0.2
C Sutthiruang,88,1006,1132,590,373,99,5,99,4,72.0,13.97,88.87,0.09
L Mophakedi,57,1005,1292,830,357,130,4,94,0,50.0,20.1,77.79,0.07
Q Abel,43,1003,916,508,261,64,5,132,11,36.0,27.86,109.5,0.16
J Baker,27,1001,769,380,223,53,2,90,51,23.0,43.52,130.17,0.18
NR Sciver-Brunt,32,1001,743,268,287,55,2,142,5,24.0,41.71,134.72,0.2
H Klaasen,53,1000,705,261,293,49,3,72,52,43.0,23.26,141.84,0.18
V Saini,43,1000,785,275,360,70,2,89,23,31.0,32.26,127.39,0.14
JP Inglis,42,1000,627,221,225,58,3,104,39,36.0,27.78,159.49,0.23
RG Mukasa,46,993,804,380,250,53,1,112,31,41.0,24.22,123.51,0.18
I Barma,69,992,1182,605,428,101,10,77,4,56.0,17.71,83.93,0.07
O Tuyisenge,68,988,981,524,304,72,3,91,27,61.0,16.2,100.71,0.12
