striker,innings_batted,runs_scored,balls_faced,dots,ones,twos,threes,fours,sixes,times_dismissed,batting_average,strike_rate,boundary_pct
M Uwase,40,462,582,353,156,36,4,54,1,34.0,13.59,79.38,0.09
S Gooch,16,461,380,174,131,34,4,43,13,13.0,35.46,121.32,0.15
RL Blake,7,461,307,141,83,49,0,70,0,3.0,153.67,150.16,0.23
Q Joseph,26,460,391,218,91,15,1,60,16,24.0,19.17,117.65,0.19
LS Greenway,27,460,505,233,211,32,3,44,0,17.0,27.06,91.09,0.09
Imad Wasim,46,459,330,110,141,26,2,50,10,32.0,14.34,139.09,0.18
JD Ryder,21,457,358,168,114,19,3,47,18,19.0,24.05,127.65,0.18
AM Kamara,34,457,595,379,178,51,3,42,0,20.0,22.85,76.81,0.07
Khawar Ali,27,452,445,236,138,21,0,47,14,26.0,17.38,101.57,0.14
CT Dhururu,39,452,557,297,194,37,2,43,1,29.0,15.59,81.15,0.08
Saud Islam,19,452,426,204,146,36,1,43,9,17.0,26.59,106.1,0.12
P Mishra,36,451,387,239,113,10,0,27,35,31.0,14.55,116.54,0.16
M Akayezu,62,451,392,198,123,30,2,28,25,54.0,8.35,115.05,0.14
Umaima Sohail,43,450,543,288,184,39,3,36,5,39.0,11.54,82.87,0.08
RMAM Avery,26,448,666,392,237,44,6,25,0,16.0,28.0,67.27,0.04
Chaya Mughal,43,448,564,297,230,34,0,36,1,30.0,14.93,79.43,0.07
Shoaib Khan,34,446,411,213,139,20,1,39,18,27.0,16.52,108.52,0.14
P Useni,46,445,310,133,93,33,4,22,31,32.0,13.91,143.55,0.17
D Gumyusenge,30,445,440,241,131,28,2,36,18,26.0,17.12,101.14,0.12
Mohammad Ahnaff,19,443,389,186,142,21,1,34,20,14.0,31.64,113.88,0.14
BYA Mendis,36,442,483,275,131,22,1,60,4,33.0,13.39,91.51,0.13
GD Arta,42,441,504,291,169,23,0,25,21,30.0,14.7,87.5,0.09
Samjhana Khadka,37,441,432,230,120,39,5,57,0,34.0,12.97,102.08,0.13
JM Vince,16,441,343,138,128,27,1,43,14,16.0,27.56,128.57,0.17
Hussain Talat,22,441,387,152,160,42,1,41,5,19.0,23.21,113.95,0.12
EL Bartram,22,440,390,206,128,37,4,46,7,17.0,25.88,112.82,0.14
Hassan Nawaz,22,439,287,127,90,28,1,23,33,20.0,21.95,152.96,0.2
Arun Yadav,14,438,288,113,95,22,0,45,19,11.0,39.82,152.08,0.22
S Mosweu,26,437,454,299,100,30,3,67,0,22.0,19.86,96.26,0.15
Ali Masood,24,436,438,224,141,32,3,42,9,21.0,20.76,99.54,0.12
IC Gaze,28,436,360,131,150,27,4,52,2,16.0,27.25,121.11,0.15
L Canessane,34,434,377,169,146,28,2,37,13,29.0,14.97,115.12,0.13
MG Bracewell,29,434,323,139,116,33,2,36,17,18.0,24.11,134.37,0.16
Bilal Masud,18,434,342,142,137,32,3,32,16,13.0,33.38,126.9,0.14
AM Tribe,19,433,355,149,136,27,3,36,15,17.0,25.47,121.97,0.14
M McColl,39,432,409,180,167,31,1,44,4,27.0,16.0,105.62,0.12
G Burrows,16,432,367,148,139,40,3,36,10,13.0,33.23,117.71,0.13
DS Bajwa,19,432,339,150,113,26,4,43,13,15.0,28.8,127.43,0.17
MTMMJ Ave,16,432,395,190,141,22,1,37,16,10.0,43.2,109.37,0.13
VD Adewoye,41,431,355,180,103,28,6,35,19,33.0,13.06,121.41,0.15
L Winfield,25,431,360,145,134,29,1,53,4,18.0,23.94,119.72,0.16
S Wickramasekara,22,431,313,148,105,33,0,32,22,19.0,22.68,137.7,0.17
Pargat Singh,21,430,364,177,109,39,1,39,14,20.0,21.5,118.13,0.15
E Wachira,35,429,588,345,189,52,0,34,0,27.0,15.89,72.96,0.06
Ritu Moni,56,428,547,285,217,34,1,35,0,36.0,11.89,78.24,0.06
Younis Khan,21,428,341,118,144,40,1,31,12,17.0,25.18,125.51,0.13
V Ooko,38,428,538,328,172,31,0,47,1,29.0,14.76,79.55,0.09
Faisal Mubashir,20,428,421,167,200,27,2,33,6,11.0,38.91,101.66,0.09
RN ten Doeschate,19,428,314,89,156,34,6,21,17,10.0,42.8,136.31,0.12
PV Vuniwaqa,11,427,264,129,64,13,1,34,33,10.0,42.7,161.74,0.25
S Jimmy,29,427,488,294,143,36,6,41,5,24.0,17.79,87.5,0.09
Khushdil Shah,30,425,404,191,167,17,0,26,20,23.0,18.48,105.2,0.11
KC Ramamoorthy,26,424,391,210,123,19,1,37,17,25.0,16.96,108.44,0.14
CJ Jordan,51,424,322,132,118,32,0,29,21,30.0,14.13,131.68,0.16
S Periyalwar,31,424,427,203,169,22,3,46,3,19.0,22.32,99.3,0.11
S Thakor,41,423,308,138,100,15,1,41,21,32.0,13.22,137.34,0.2
IDA Damarell,24,423,387,176,136,28,1,45,8,21.0,20.14,109.3,0.14
S Nadigotla,27,421,366,169,146,25,1,36,13,26.0,16.19,115.03,0.13
Nahida Khan,40,421,555,320,177,25,0,41,5,31.0,13.58,75.86,0.08
A Kirschbaum,29,420,424,191,149,46,5,32,6,24.0,17.5,99.06,0.09
CNIM Joyce,24,419,510,283,159,34,3,40,3,21.0,19.95,82.16,0.08
N Mugabe,18,418,399,204,125,32,1,37,13,16.0,26.12,104.76,0.13
S Ivetic,14,417,423,223,142,37,1,30,13,10.0,41.7,98.58,0.1
MW Short,22,416,277,114,86,22,2,40,20,20.0,20.8,150.18,0.22
Milind Kumar,21,416,385,135,202,30,0,25,9,13.0,32.0,108.05,0.09
VB Chikkannaiah,20,416,413,223,137,35,4,30,12,19.0,21.89,100.73,0.1
S Dharnidharka,46,415,481,275,176,33,1,35,5,27.0,15.37,86.28,0.08
S Sriharsha,21,415,442,220,151,48,2,39,1,17.0,24.41,93.89,0.09
MV Waldron,46,415,520,265,193,35,0,38,0,35.0,11.86,79.81,0.07
JJ Huo,21,415,345,175,105,24,6,40,14,15.0,27.67,120.29,0.16
Namgay Thinley,37,414,395,217,127,21,3,29,20,29.0,14.28,104.81,0.12
R Rohan,27,414,418,228,129,19,1,43,12,26.0,15.92,99.04,0.13
T Shadrack,44,414,684,473,178,75,6,17,0,31.0,13.35,60.53,0.02
Imran Ali Butt,19,413,417,224,146,22,0,38,11,18.0,22.94,99.04,0.12
Khushi Sharma,41,413,522,256,209,43,0,28,1,31.0,13.32,79.12,0.06
S Thanikaithasan,25,413,334,148,121,34,6,29,15,20.0,20.65,123.65,0.13
HJ Manenti,21,412,363,153,146,24,4,35,11,19.0,21.68,113.5,0.13
B Cooper,40,411,488,283,128,36,1,43,6,31.0,13.26,84.22,0.1
Mehedi Hasan Miraz,28,410,352,145,144,22,6,36,10,24.0,17.08,116.48,0.13
V Langiatu,26,409,525,336,138,38,1,48,0,26.0,15.73,77.9,0.09
J Barker,26,409,426,191,199,38,2,29,2,17.0,24.06,96.01,0.07
Mahedi Hasan,43,408,402,197,148,30,0,29,14,32.0,12.75,101.49,0.11
W Miyauchi,25,408,401,174,162,39,2,36,3,19.0,21.47,101.75,0.1
M Mwatile,47,408,504,294,146,44,2,36,4,33.0,12.36,80.95,0.08
WU Tharanga,26,407,330,167,91,32,4,42,12,25.0,16.28,123.33,0.16
W Hornero-Garcia,21,407,429,274,115,45,10,43,0,17.0,23.94,94.87,0.1
C Uwase,45,405,516,339,141,34,2,43,3,37.0,10.95,78.49,0.09
DM Bravo,22,405,379,182,152,19,1,32,14,18.0,22.5,106.86,0.12
Zubair Ali,11,405,327,141,120,28,1,34,15,9.0,45.0,123.85,0.15
BJ Haddin,29,404,352,150,134,30,4,30,13,22.0,18.36,114.77,0.12
GF Linde,26,403,273,101,109,27,0,27,22,21.0,19.19,147.62,0.18
IMHC Joyce,27,403,476,244,167,35,2,40,0,23.0,17.52,84.66,0.08
VS Padhaal,25,401,385,195,142,32,1,36,8,22.0,18.23,104.16,0.11
RT Ponting,16,401,302,118,115,23,2,42,11,13.0,30.85,132.78,0.18
Vikramjit Singh,27,400,354,178,104,28,2,33,17,27.0,14.81,112.99,0.14
HH Gibbs,23,400,318,155,99,19,2,45,12,22.0,18.18,125.79,0.18
A Merritt,19,400,348,163,118,43,0,43,4,14.0,28.57,114.94,0.14
K Oala,20,399,342,191,83,11,0,50,14,17.0,23.47,116.67,0.19
S Desungnoen,39,399,485,283,144,23,1,35,11,32.0,12.47,82.27,0.09
A Mokgotlhe,36,398,400,252,100,43,0,44,6,24.0,16.58,99.5,0.12
Ahmed Faiz Mohammad Noor,18,397,343,135,147,22,0,38,9,17.0,23.35,115.74,0.14
Anamul Haque,18,396,348,162,115,22,1,42,11,16.0,24.75,113.79,0.15
Shorna Akter,37,396,413,189,183,26,3,26,8,27.0,14.67,95.88,0.08
JK Vifah,28,396,361,195,105,25,7,39,9,24.0,16.5,109.7,0.13
V Shukla,21,396,277,90,129,17,1,35,15,17.0,23.29,142.96,0.18
D Suzuki,40,396,384,188,137,29,3,39,6,26.0,15.23,103.12,0.12
Shan Masood,17,395,324,118,142,41,3,30,7,13.0,30.38,121.91,0.11
Aslam Khan,23,394,246,138,38,14,0,40,28,20.0,19.7,160.16,0.28
Rinitha Rajith,40,392,370,200,128,16,2,46,7,29.0,13.52,105.95,0.14
ZM Tribe,25,390,374,163,148,29,2,34,7,21.0,18.57,104.28,0.11
A Ikuzwe,39,390,479,287,142,53,2,31,2,25.0,15.6,81.42,0.07
Usman Khalid,26,389,343,149,141,19,0,30,15,18.0,21.61,113.41,0.13
Abdul Razzaq,28,388,324,151,119,28,1,21,21,17.0,22.82,119.75,0.13
Sharjeel Khan,17,388,289,152,66,14,2,51,14,17.0,22.82,134.26,0.22
P Mapotsane,28,388,469,306,102,54,2,37,4,22.0,17.64,82.73,0.09
HS Gericke,16,387,238,93,81,32,4,32,17,15.0,25.8,162.61,0.21
IKEG Artawan,52,387,399,226,122,23,1,36,12,34.0,11.38,96.99,0.12
R Pathan,12,387,245,92,81,20,0,41,17,8.0,48.38,157.96,0.24
SP Gomes,12,386,284,108,116,31,0,37,10,8.0,48.25,135.92,0.17
V Sehwag,17,386,261,116,80,18,2,42,16,15.0,25.73,147.89,0.22
V Abuga,28,385,435,263,111,32,2,48,2,23.0,16.74,88.51,0.11
G Singh,22,383,358,169,130,30,1,28,13,17.0,22.53,106.98,0.11
SJ McGlashan,20,383,345,143,132,41,2,29,7,15.0,25.53,111.01,0.1
M Simpson-Parker,19,383,315,146,107,32,4,29,14,14.0,27.36,121.59,0.14
T Munyonga,35,382,364,154,151,31,1,28,9,26.0,14.69,104.95,0.1
Mohammad Ashraful,20,382,278,107,103,20,3,41,11,19.0,20.11,137.41,0.19
Iqbal Hossain,14,381,227,118,36,15,1,33,30,14.0,27.21,167.84,0.28
I Chathurani,13,380,393,215,154,53,0,30,0,5.0,76.0,96.69,0.08
Sompal Kami,46,380,337,168,102,37,2,27,15,32.0,11.88,112.76,0.12
M Syrioti,24,380,557,433,151,49,1,32,0,18.0,21.11,68.22,0.06
D Heyliger,36,379,231,77,91,18,0,24,26,14.0,27.07,164.07,0.22
D Ajekun,32,379,511,309,148,38,5,32,2,30.0,12.63,74.17,0.07
Ibrahim Rahimi,19,379,227,115,49,21,0,18,36,16.0,23.69,166.96,0.24
T Zangmo,32,379,575,352,180,36,5,25,2,23.0,16.48,65.91,0.05
J Coetzee,22,378,349,150,148,25,0,24,14,16.0,23.62,108.31,0.11
Shahid Wasif,25,378,357,152,153,20,3,29,10,15.0,25.2,105.88,0.11
Iram Javed,43,377,470,282,139,19,0,38,8,37.0,10.19,80.21,0.1
Kuldeep,13,377,228,105,57,21,0,35,23,11.0,34.27,165.35,0.25
AK Mohan,22,377,423,254,126,28,3,24,15,21.0,17.95,89.13,0.09
WIA Fernando,37,377,411,195,164,25,1,28,8,34.0,11.09,91.73,0.09
M Shumba,25,376,335,133,141,31,1,23,13,17.0,22.12,112.24,0.11
S Movva,22,376,352,155,145,32,1,29,8,17.0,22.12,106.82,0.11
Hisham Sheikh,23,375,410,163,195,38,2,20,3,17.0,22.06,91.46,0.06
AM Rahane,20,375,331,132,145,30,2,32,6,18.0,20.83,113.29,0.11
Shahzaib Jamil,19,375,276,113,109,17,0,19,26,15.0,25.0,135.87,0.16
Musaddiq Ahmed,10,374,211,103,42,6,0,47,22,6.0,62.33,177.25,0.33
T Tshose,35,374,333,167,98,41,0,20,19,29.0,12.9,112.31,0.12
Adnan Idrees,29,374,281,159,60,16,0,48,15,28.0,13.36,133.1,0.22
A van der Merwe,24,373,450,292,106,41,5,38,3,20.0,18.65,82.89,0.09
Ehsan Khan,53,373,341,136,154,18,3,21,15,27.0,13.81,109.38,0.11
AA Onikoyi,26,372,423,231,138,26,2,26,12,22.0,16.91,87.94,0.09
M Chadha,13,371,313,133,129,13,0,33,14,9.0,41.22,118.53,0.15
R Lutaaya,24,371,290,131,87,25,4,42,9,24.0,15.46,127.93,0.18
C Magaia,35,370,447,339,104,36,0,41,5,27.0,13.7,82.77,0.1
P Sharma,25,369,344,196,104,25,3,41,7,22.0,16.77,107.27,0.14
A Dercksen,25,369,318,141,125,9,0,43,9,16.0,23.06,116.04,0.16
Ayesha Naseem,26,369,288,115,115,33,0,20,18,19.0,19.42,128.12,0.13
PK Matautaava,19,368,288,135,85,26,3,27,19,17.0,21.65,127.78,0.16
DJ Hooda,17,368,250,90,107,17,1,29,18,12.0,30.67,147.2,0.19
Kyshona A Knight,35,367,501,284,183,22,2,32,1,29.0,12.66,73.25,0.07
S Pradhan,26,367,409,235,121,26,2,41,4,24.0,15.29,89.73,0.11
MA Jones,15,366,264,110,95,15,1,34,17,14.0,26.14,138.64,0.19
B Masaba,34,366,368,190,125,24,3,37,6,22.0,16.64,99.46,0.12
Raza Iqbal,26,366,319,172,105,18,3,42,8,21.0,17.43,114.73,0.16
L Cardoso,24,366,426,256,118,40,8,33,2,19.0,19.26,85.92,0.08
Pyae Phyo Wai,28,365,459,270,153,37,3,22,6,28.0,13.04,79.52,0.06
Zahir Mohammed,28,365,265,131,77,20,0,29,22,26.0,14.04,137.74,0.19
B Rawal,34,365,524,350,138,36,1,38,0,23.0,15.87,69.66,0.07
PS Athavale,17,364,288,121,110,19,0,39,10,15.0,24.27,126.39,0.17
NY McLean,24,364,383,205,117,26,2,28,12,17.0,21.41,95.04,0.1
KM Myat,23,363,498,324,151,42,0,32,0,17.0,21.35,72.89,0.06
Nasir Jamshed,18,363,320,150,109,23,0,34,12,17.0,21.35,113.44,0.14
B Bhandari,26,363,299,146,95,28,0,29,16,20.0,18.15,121.4,0.15
DA Blignaut,25,362,393,206,136,29,2,18,15,20.0,18.1,92.11,0.08
AA Alleyne,43,362,408,211,133,28,5,38,1,30.0,12.07,88.73,0.1
DM Gondaria,20,362,318,141,113,34,1,37,5,19.0,19.05,113.84,0.13
SG Mangela,16,361,310,124,131,33,4,32,4,14.0,25.79,116.45,0.12
A Shreshta,20,361,361,180,121,34,2,34,5,17.0,21.24,100.0,0.11
Shahreeennawab,31,360,535,386,171,17,1,38,0,18.0,20.0,67.29,0.07
G Kansonkho,29,360,410,228,121,28,7,36,3,23.0,15.65,87.8,0.1
NM Odhiambo,31,359,338,160,126,23,5,25,12,24.0,14.96,106.21,0.11
F Overdijk,48,359,457,242,174,39,1,26,0,36.0,9.97,78.56,0.06
S Hook,23,359,352,196,109,24,0,28,15,18.0,19.94,101.99,0.12
J Bulele,13,359,373,219,96,32,7,43,1,11.0,32.64,96.25,0.12
L Ronchi,25,359,256,92,99,28,0,30,14,20.0,17.95,140.23,0.17
Isa Zaroo,19,358,282,138,81,20,1,42,11,18.0,19.89,126.95,0.19
Shah Abrar Hussain,20,358,345,183,123,17,1,21,19,16.0,22.38,103.77,0.12
AM Zepeda,15,358,394,276,102,37,2,44,0,10.0,35.8,90.86,0.11
A Donovan,13,357,221,72,90,16,1,25,22,7.0,51.0,161.54,0.21
B Biza,21,356,387,207,121,32,3,36,3,18.0,19.78,91.99,0.1
P Silas,29,356,342,145,127,47,1,27,4,21.0,16.95,104.09,0.09
E Sebareme,40,356,366,177,116,40,2,22,11,28.0,12.71,97.27,0.09
MC Henriques,21,355,285,99,132,24,4,17,15,15.0,23.67,124.56,0.11
Fahima Khatun,51,355,366,154,167,30,2,29,1,29.0,12.24,96.99,0.08
Surya Anand,21,355,335,119,164,31,1,12,13,13.0,27.31,105.97,0.07
AC Douglas,19,355,264,132,69,16,0,32,21,18.0,19.72,134.47,0.2
RH Priest,23,355,363,212,89,20,0,49,5,22.0,16.14,97.8,0.15
MADD Surangika,25,355,406,202,157,29,0,32,2,19.0,18.68,87.44,0.08
JJ Atkinson,24,354,304,141,104,19,2,35,11,20.0,17.7,116.45,0.15
S Gajnabi,34,354,467,242,189,18,1,27,3,29.0,12.21,75.8,0.06
S Austin,23,354,344,169,130,38,2,28,5,21.0,16.86,102.91,0.1
N Joshi,19,354,325,183,122,33,4,37,1,19.0,18.63,108.92,0.12
EC Joyce,13,353,371,168,149,27,4,27,5,9.0,39.22,95.15,0.09
LF Muller,16,353,294,146,88,24,3,40,8,14.0,25.21,120.07,0.16
P Siaka,32,353,334,156,121,33,2,34,4,28.0,12.61,105.69,0.11
D Norotam,13,353,251,119,71,17,4,35,16,13.0,27.15,140.64,0.2
Manan Bashir,13,352,150,59,30,6,0,16,41,10.0,35.2,234.67,0.38
S Ecclestone,43,351,269,111,106,21,1,26,16,20.0,17.55,130.48,0.16
T Parima,16,350,257,125,72,19,0,30,20,15.0,23.33,136.19,0.19
CK Jasmat,22,350,320,156,122,13,0,25,17,18.0,19.44,109.38,0.13
S Khiaoto,36,349,423,234,139,37,2,28,3,26.0,13.42,82.51,0.07
J Singye,22,349,472,245,186,30,3,16,5,21.0,16.62,73.94,0.04
CR Pagydyala,20,349,412,227,155,26,2,34,0,16.0,21.81,84.71,0.08
Sazib Bhuiyan,23,349,262,127,77,14,2,40,13,19.0,18.37,133.21,0.2
Ikramullah Khan,26,347,299,133,115,18,0,31,12,20.0,17.35,116.05,0.14
O Olaleye,23,347,354,184,106,34,3,29,8,18.0,19.28,98.02,0.1
OA Shah,15,347,284,119,114,24,1,26,13,14.0,24.79,122.18,0.14
K Hinds,26,346,339,198,78,26,0,24,20,26.0,13.31,102.06,0.13
CR Seneviratna,25,345,387,177,153,47,2,23,0,19.0,18.16,89.15,0.06
TC Bruce,21,344,282,96,137,20,1,26,10,17.0,20.24,121.99,0.13
WA Young,19,344,338,170,117,12,1,35,10,19.0,18.11,101.78,0.13
Sheikh Rasik,10,344,201,78,69,14,1,19,28,8.0,43.0,171.14,0.23
S Chanderpaul,22,343,347,172,118,25,3,34,5,17.0,20.18,98.85,0.11
P Maya,44,343,449,255,139,32,4,32,0,33.0,10.39,76.39,0.07
Shaheen Shah Afridi,40,343,269,143,73,22,0,19,25,23.0,14.91,127.51,0.16
GP Meade,29,343,338,162,125,28,4,24,9,21.0,16.33,101.48,0.1
SK Awiah,25,343,435,262,129,33,2,28,5,22.0,15.59,78.85,0.08
A Chandel,31,343,516,334,174,36,4,20,0,21.0,16.33,66.47,0.04
BR McDermott,23,342,343,152,136,27,2,17,13,19.0,18.0,99.71,0.09
MR Aguilleira,30,342,431,226,153,35,2,24,2,20.0,17.1,79.35,0.06
Najjam Shahzad,22,342,264,130,86,17,0,27,19,16.0,21.38,129.55,0.17
Mohammad Rizlan,23,341,294,143,98,15,1,21,21,20.0,17.05,115.99,0.14
M Bibi,45,341,410,200,165,43,2,15,4,34.0,10.03,83.17,0.05
M Castineiras,15,341,322,204,51,31,14,45,1,12.0,28.42,105.9,0.14
K Kunwar,39,340,450,259,158,24,2,29,2,26.0,13.08,75.56,0.07
S Kolcharam,24,340,311,162,90,39,4,40,0,17.0,20.0,109.32,0.13
A Patmore,24,338,372,183,138,27,2,35,0,20.0,16.9,90.86,0.09
Meghna Rajan,7,338,299,137,112,52,6,26,0,2.0,169.0,113.04,0.09
GK Ghalley,30,338,357,207,88,31,2,23,15,25.0,13.52,94.68,0.11
Arslan Amjad,23,337,302,164,103,19,0,25,16,20.0,16.85,111.59,0.14
B Shanti,35,337,467,293,149,25,0,33,1,24.0,14.04,72.16,0.07
A Symonds,11,337,199,52,76,30,3,33,10,6.0,56.17,169.35,0.22
Haroon Arshad,24,336,252,88,101,37,1,26,9,17.0,19.76,133.33,0.14
Zain Ul Abidin,31,335,284,135,110,24,1,18,17,19.0,17.63,117.96,0.12
K Irakoze,40,335,315,154,115,16,2,20,17,34.0,9.85,106.35,0.12
R Dianish,19,333,290,163,75,22,2,34,12,17.0,19.59,114.83,0.16
V Mbazo,33,332,378,204,119,30,8,22,6,29.0,11.45,87.83,0.07
P Vastrakar,41,332,290,120,109,27,1,34,5,22.0,15.09,114.48,0.13
Saif Hassan,16,331,286,140,101,18,2,14,22,14.0,23.64,115.73,0.13
MM Baig,25,331,257,111,107,18,0,17,20,18.0,18.39,128.79,0.14
Muhammad Umar,21,331,281,130,106,21,1,12,22,15.0,22.07,117.79,0.12
PG Raut,13,329,351,179,120,25,1,39,0,10.0,32.9,93.73,0.11
LA Marsh,20,329,313,184,60,19,3,48,5,16.0,20.56,105.11,0.17
Mukhtar Ghulami,21,328,292,151,96,13,0,29,15,20.0,16.4,112.33,0.15
S Kananji,22,328,355,202,97,34,1,40,0,17.0,19.29,92.39,0.11
RJ Nicol,19,327,296,158,97,16,0,33,11,19.0,17.21,110.47,0.15
A Athanaze,14,326,252,130,70,15,0,31,17,13.0,25.08,129.37,0.19
JP Kaltapau,19,326,345,162,127,31,5,23,5,15.0,21.73,94.49,0.08
DK Mathias,14,325,319,160,121,15,0,21,15,10.0,32.5,101.88,0.11
G Wareham,29,324,239,89,89,28,1,41,2,20.0,16.2,135.56,0.18
K Fraser,28,324,313,165,86,19,0,44,4,20.0,16.2,103.51,0.15
JE Cameron,21,324,330,148,130,24,2,23,8,15.0,21.6,98.18,0.09
FC Wilson,22,323,321,111,168,26,1,22,2,13.0,24.85,100.62,0.07
S Solman,22,323,353,171,136,30,1,24,3,12.0,26.92,91.5,0.08
S Horley,17,323,320,158,117,17,2,37,3,16.0,20.19,100.94,0.12
L Agatha,27,323,432,285,111,38,0,31,2,22.0,14.68,74.77,0.08
A Gbla,29,322,300,161,94,33,0,21,13,23.0,14.0,107.33,0.11
NH Berejo,10,322,336,160,146,39,0,23,1,5.0,64.4,95.83,0.07
G Ngegba,20,322,314,153,107,33,1,32,3,15.0,21.47,102.55,0.11
OU Ranasinghe,40,321,425,222,161,29,2,24,0,30.0,10.7,75.53,0.06
H Doriga,22,321,305,196,58,17,1,40,11,19.0,16.89,105.25,0.17
GC Bhogle,19,321,370,209,118,35,1,28,3,12.0,26.75,86.76,0.08
Sanjida Islam,28,320,397,242,110,25,4,28,6,25.0,12.8,80.6,0.09
MRJ Watt,37,319,279,107,119,23,0,28,7,27.0,11.81,114.34,0.13
HER Tyler,26,319,251,128,67,15,0,30,17,25.0,12.76,127.09,0.19
A Doddaballapur,25,318,433,272,160,30,2,20,2,17.0,18.71,73.44,0.05
Amarpal Kaur,19,318,407,175,209,27,1,13,0,11.0,28.91,78.13,0.03
E Niyomugabo,35,317,324,159,110,30,3,18,11,31.0,10.23,97.84,0.09
A Raza,18,316,203,108,46,9,0,36,18,19.0,16.63,155.67,0.27
C Bull,27,316,395,260,104,23,2,40,0,23.0,13.74,80.0,0.1
N Navaika,23,316,467,294,131,37,1,27,0,19.0,16.63,67.67,0.06
NJ O'Brien,20,316,326,151,120,27,2,25,6,18.0,17.56,96.93,0.1
A Augastin,13,315,262,124,91,18,0,35,8,10.0,31.5,120.23,0.16
JA Fitzgerald,30,315,225,94,79,30,0,14,20,17.0,18.53,140.0,0.15
Abhijeet Ahuja,16,313,322,178,120,24,1,25,7,15.0,20.87,97.2,0.1
PJ Moor,15,313,239,111,86,11,1,19,21,12.0,26.08,130.96,0.17
E Van Zyl,42,312,433,259,132,28,0,19,8,35.0,8.91,72.06,0.06
Ilenia Sims,15,312,344,155,164,33,2,19,0,12.0,26.0,90.7,0.06
LN Oluoch,35,311,290,135,104,23,3,23,10,20.0,15.55,107.24,0.11
NG Collins,15,311,339,196,90,33,5,29,4,13.0,23.92,91.74,0.1
H Deol,20,311,338,176,126,14,1,37,1,18.0,17.28,92.01,0.11
K Vijayaraghavan,32,311,520,343,176,25,3,19,0,22.0,14.14,59.81,0.04
OB Nightingale,18,310,290,101,136,37,2,19,3,12.0,25.83,106.9,0.08
K Joshi,38,308,408,261,113,19,1,25,9,25.0,12.32,75.49,0.08
Nasir Hossain,20,308,283,109,120,28,2,24,5,16.0,19.25,108.83,0.1
Shiraz Khan,28,308,327,149,146,13,0,13,14,17.0,18.12,94.19,0.08
ML Hayden,9,308,214,99,56,13,0,37,13,6.0,51.33,143.93,0.23
Mohamed Rishwan,24,308,366,219,106,15,0,25,12,24.0,12.83,84.15,0.1
G Candiru,15,306,350,182,126,34,4,22,2,13.0,23.54,87.43,0.07
O Mondlane,28,306,448,342,104,31,0,35,0,27.0,11.33,68.3,0.08
Gull Feroza,22,306,318,176,84,25,0,43,0,19.0,16.11,96.23,0.14
C Piparo,10,305,240,89,96,34,1,33,1,7.0,43.57,127.08,0.14
SACA King,28,305,329,175,106,21,5,31,3,21.0,14.52,92.71,0.1
D Wulandari,17,305,347,187,123,33,4,26,0,12.0,25.42,87.9,0.07
A McAuley,18,304,334,164,130,29,0,26,2,17.0,17.88,91.02,0.08
T Musekiwa,31,303,218,93,71,29,2,24,12,18.0,16.83,138.99,0.17
TG Southee,46,303,218,100,57,29,0,20,18,26.0,11.65,138.99,0.17
Rameez Shahzad,15,302,299,141,113,27,1,24,6,12.0,25.17,101.0,0.1
AE Paraam,10,302,205,70,88,10,0,29,13,6.0,50.33,147.32,0.2
Salma Khatun,33,302,344,149,159,21,1,23,1,19.0,15.89,87.79,0.07
Amjad Sher,29,301,247,123,78,33,1,19,13,25.0,12.04,121.86,0.13
LL Dimba,18,301,358,224,99,21,0,40,0,15.0,20.07,84.08,0.11
Mazharul Islam,18,300,335,187,97,21,1,38,1,13.0,23.08,89.55,0.12
S Vijay Unni,36,300,347,163,150,13,2,22,5,19.0,15.79,86.46,0.08
A Mundra,14,300,211,106,59,8,1,33,15,13.0,23.08,142.18,0.23
J Sumerauer,26,299,216,81,74,35,1,20,12,15.0,19.93,138.43,0.15
NL McCullum,38,299,297,138,117,26,2,19,8,26.0,11.5,100.67,0.09
K Doriga,28,298,290,143,91,30,5,18,10,23.0,12.96,102.76,0.1
HA Jackson,23,298,356,209,102,39,2,22,4,21.0,14.19,83.71,0.07
RR Sarwan,16,298,286,115,132,24,2,19,6,13.0,22.92,104.2,0.09
Shantanu Kaveri,24,298,368,206,119,45,5,17,1,19.0,15.68,80.98,0.05
RP Singh,30,297,256,130,77,22,2,23,13,22.0,13.5,116.02,0.14
Mosaddek Hossain,26,296,264,107,123,17,1,19,10,18.0,16.44,112.12,0.11
MLN Sissako,24,296,467,368,88,25,2,38,0,22.0,13.45,63.38,0.08
Amna Tariq,45,296,588,410,167,31,1,16,0,40.0,7.4,50.34,0.03
MS Maker,12,296,217,77,89,23,1,20,13,5.0,59.2,136.41,0.15
AM Kimote,39,295,304,155,103,27,2,24,6,23.0,12.83,97.04,0.1
Adri van der Merwe,16,295,355,224,120,38,1,24,0,10.0,29.5,83.1,0.07
Y Saranonnakkun,39,294,349,209,99,20,1,23,10,36.0,8.17,84.24,0.09
Khalid Kail,18,294,266,108,116,12,0,22,11,13.0,22.62,110.53,0.12
Asmavia Iqbal,32,294,309,145,127,14,1,16,12,25.0,11.76,95.15,0.09
AJ Hosein,36,293,262,121,97,17,0,18,15,16.0,18.31,111.83,0.13
Mirza Ahsan,18,293,197,87,55,33,0,22,14,16.0,18.31,148.73,0.18
