player_name,innings_batted,runs_scored,balls_faced,dots,ones,twos,threes,fours,sixes,times_dismissed,batting_average,strike_rate,boundary_pct,innings_bowled,legal_balls_bowled,runs_conceded,wickets_taken,wides_bowled,noballs_bowled,dots_bowled,overs_bowled,economy_rate,bowling_average,bowling_strike_rate,batting_cluster,bowling_cluster
A Pavlickova,1.0,1.0,16.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
A Perera,23.0,234.0,334.0,189.0,115.0,26.0,1.0,16.0,0.0,18.0,13.0,70.06,0.05,9.0,124.0,94.0,12.0,4.0,1.0,79.0,20.67,4.55,7.83,10.33,0,2
A Poulose,3.0,9.0,14.0,13.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,64.29,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
A Prashar,10.0,134.0,82.0,27.0,34.0,7.0,0.0,8.0,9.0,8.0,16.75,163.41,0.21,11.0,194.0,206.0,12.0,20.0,1.0,124.0,32.33,6.37,17.17,16.17,1,3
A Prince,7.0,13.0,43.0,34.0,7.0,3.0,0.0,0.0,0.0,6.0,2.17,30.23,0.0,4.0,54.0,43.0,2.0,5.0,2.0,35.0,9.0,4.78,21.5,27.0,3,2
A Pusthay,11.0,120.0,148.0,81.0,52.0,14.0,0.0,10.0,0.0,10.0,12.0,81.08,0.07,7.0,100.0,129.0,7.0,5.0,1.0,44.0,16.67,7.74,18.43,14.29,0,3
A Rajshekara,7.0,106.0,110.0,63.0,38.0,4.0,0.0,9.0,4.0,5.0,21.2,96.36,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1
A Rameshan,6.0,111.0,147.0,103.0,41.0,9.0,0.0,13.0,0.0,4.0,27.75,75.51,0.09,6.0,132.0,153.0,10.0,14.0,4.0,83.0,22.0,6.95,15.3,13.2,1,3
A Randhawa,22.0,239.0,307.0,166.0,117.0,21.0,0.0,14.0,4.0,17.0,14.06,77.85,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1
A Rangaswamy,5.0,13.0,16.0,9.0,5.0,1.0,0.0,0.0,1.0,4.0,3.25,81.25,0.06,8.0,142.0,142.0,11.0,10.0,2.0,104.0,23.67,6.0,12.91,12.91,-1,2
A Rautela,5.0,22.0,59.0,50.0,14.0,2.0,0.0,1.0,0.0,3.0,7.33,37.29,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-1
A Raza,18.0,316.0,203.0,108.0,46.0,9.0,0.0,36.0,18.0,19.0,16.63,155.67,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1
A Razmilic,7.0,13.0,30.0,27.0,3.0,0.0,0.0,1.0,1.0,5.0,2.6,43.33,0.07,7.0,74.0,166.0,3.0,10.0,2.0,26.0,12.33,13.46,55.33,24.67,-1,1
A Reddy,17.0,110.0,105.0,53.0,34.0,7.0,0.0,14.0,1.0,13.0,8.46,104.76,0.14,43.0,869.0,1100.0,44.0,22.0,3.0,342.0,144.83,7.59,25.0,19.75,0,3
